bathrooms,house_condition,house_grade,schools_nearby,built_year,house_area,living_area,inflation_rate,bedrooms,floors,living_area,price
1,3,6,0,1935,860,1140,-0.9,3,1,1140,106600
1,3,6,0,1935,780,1700,-0.1,2,1,1700,85800
1,3,6,0,1935,520,1572,0.6,2,1,1572,181500
1,3,6,0,1935,430,1200,-0.1,1,1,1200,88000
1,3,6,0,1935,900,2060,-0.1,2,1,2060,91300
2,4,8,1,1961,1650,1960,0.4,3,1,1960,685100
2,4,8,1,1959,1560,2080,0.4,4,1,2080,650250
1,3,6,1,1947,1210,1580,0.4,2,1,1580,399500
2,3,6,1,1948,1200,1380,0.4,3,1,1380,412250
3,3,6,1,1951,1360,1750,0.4,3,1,1750,484500
2,3,6,1,1949,1370,1400,0.4,3,1,1400,438515
1,4,8,1,1958,1090,1340,0.4,3,1,1340,620500
3,3,6,1,1951,1090,1410,0.4,3,1,1410,488240
2,4,8,1,1955,1350,1790,0.4,2,1,1790,569500
2,4,8,1,1956,1930,2200,0.4,3,1,2200,581400
2,4,8,1,1963,1070,1450,0.4,4,1,1450,731000
3,4,8,1,1962,1000,2070,0.4,3,1,2070,714000
2,4,8,1,1966,1710,2260,0.4,3,1,2260,787100
2,4,8,1,1968,1130,1090,0.4,4,1,1090,841500
2,3,6,1,1950,1180,1680,0.4,3,1,1680,467500
2,3,6,1,1951,1800,1410,0.4,3,1,1410,482800
2,3,6,1,1949,1480,2130,0.4,4,1,2130,442000
2,4,8,1,1962,1570,1570,0.4,3,1,1570,712300
3,4,8,1,1964,1080,1850,0.4,4,1,1850,748000
1,4,8,1,1964,800,1150,0.4,2,1,1150,748000
3,4,8,1,1966,1460,2080,0.4,5,1,2080,799000
2,4,8,1,1968,2190,3000,0.4,4,1,3000,835550
3,4,8,1,1965,1570,1560,0.4,3,1,1560,769250
1,4,8,1,1953,850,1100,0.4,2,1,1100,524450
3,4,8,1,1955,1580,1450,0.4,3,1,1450,569500
1,4,8,1,1963,1450,1260,0.4,4,1,1260,739500
1,4,8,1,1954,1160,1160,0.4,3,1,1160,535500
2,4,8,1,1956,1320,2130,0.4,3,1,2130,586500
1,4,8,1,1965,850,1410,0.4,2,1,1410,773500
1,4,8,1,1964,1000,1410,0.4,2,1,1410,748255
1,4,8,1,1959,1060,1380,0.4,2,1,1380,646000
1,4,8,1,1963,990,1180,0.4,2,1,1180,731000
3,4,8,1,1964,1720,2370,0.4,4,1,2370,748000
2,3,6,1,1950,1380,1620,0.4,3,1,1620,467500
2,3,6,1,1948,1540,1620,0.4,4,1,1620,425000
1,3,6,1,1941,720,1040,0.4,1,1,1040,263500
1,3,6,1,1950,1050,1510,0.4,3,1,1510,467415
3,4,8,1,1954,1510,1610,0.4,5,1,1610,544000
3,4,8,1,1954,1570,2130,0.4,3,1,2130,537200
2,4,8,1,1958,1510,1460,0.4,3,1,1460,622200
1,4,8,1,1954,960,1570,0.4,3,1,1570,535500
1,4,8,1,1965,970,2130,0.4,2,1,2130,773500
2,4,8,1,1966,1490,2450,0.4,3,1,2450,803250
3,4,8,1,1961,1240,1980,0.4,4,1,1980,698700
2,4,8,1,1961,1490,1870,0.4,4,1,1870,697000
2,4,8,1,1966,1290,1440,0.4,3,1,1440,791350
1,4,8,1,1960,730,1520,0.4,1,1,1520,671500
1,3,6,1,1944,1010,1300,0.4,3,1,1300,339915
2,4,8,1,1961,1330,2140,0.4,3,1,2140,686800
2,4,8,1,1968,1580,2420,0.4,3,1,2420,836400
2,4,8,1,1964,1120,1300,0.4,3,1,1300,747660
2,4,8,1,1969,960,1760,0.4,3,1,1760,850000
2,4,8,1,1955,1320,1730,0.4,3,1,1730,555900
1,4,8,1,1953,950,1240,0.4,3,1,1240,518500
1,4,8,1,1953,700,1560,0.4,2,1,1560,527000
1,3,6,1,1952,1010,1220,0.4,2,1,1220,510000
2,4,8,1,1971,830,1280,0.4,2,1,1280,892500
2,4,8,1,1970,770,1420,0.4,3,1,1420,870452.7
3,3,6,1,1948,1520,2170,0.4,3,1,2170,425000
2,3,6,1,1949,1430,2430,0.4,4,1,2430,433500
1,4,8,1,1953,1010,1710,0.4,3,1,1710,518500
1,3,6,1,1949,940,1400,0.4,2,1,1400,430100
2,3,6,1,1948,1200,2150,0.4,3,1,2150,425000
3,4,8,1,1956,1840,2460,0.4,3,1,2460,577915
1,3,6,1,1949,1580,1740,0.4,5,1,1740,445400
1,4,8,1,1953,1360,2070,0.4,2,1,2070,518500
2,4,8,1,1965,1260,1660,0.4,3,1,1660,770100
2,4,8,1,1967,1050,1470,0.4,4,1,1470,807500
2,3,6,1,1946,1110,1550,0.4,3,1,1550,379100
1,4,8,1,1962,1520,1470,0.4,3,1,1470,705500
1,4,8,1,1968,900,1230,0.4,2,1,1230,843200
2,4,8,1,1967,1470,1480,0.4,3,1,1480,816000
3,3,6,1,1950,1940,1310,0.4,4,1,1310,450500
1,4,8,1,1956,860,1780,0.4,2,1,1780,586500
3,3,6,1,1948,1440,1670,0.4,3,1,1670,416500
1,3,6,1,1937,840,840,0.4,3,1,840,178500
1,4,8,1,1964,1270,1560,0.4,3,1,1560,759900
1,3,6,1,1949,750,1340,0.4,2,1,1340,443700
1,3,6,1,1947,1120,1120,0.4,3,1,1120,391000
1,3,6,1,1950,770,1290,0.4,2,1,1290,457300
2,3,6,1,1952,1310,1310,0.4,3,1,1310,510000
1,4,8,1,1954,1740,2760,0.4,5,1,2760,544000
3,4,8,1,1956,2330,2500,0.4,4,1,2500,595000
2,3,6,1,1950,1240,1840,0.4,3,1,1840,464351.6
3,4,8,1,1970,1500,2690,0.4,4,1,2690,875500
2,3,6,1,1951,720,1820,0.4,4,1,1820,484500
1,4,8,1,1967,1020,2370,0.4,3,1,2370,824500
3,4,8,1,1959,1600,1600,0.4,3,1,1600,646000
1,4,8,1,1967,960,1580,0.4,3,1,1580,810900
3,4,8,1,1963,1280,1960,0.4,3,1,1960,722500
1,4,8,1,1969,930,1740,0.4,2,1,1740,850000
2,4,8,1,1962,1130,1900,0.4,3,1,1900,714000
3,4,8,1,1960,1220,2040,0.4,3,1,2040,666400
2,4,8,1,1954,1070,2140,0.4,3,1,2140,538050
1,4,8,1,1957,730,1310,0.4,4,1,1310,596700
1,4,8,1,1955,600,1720,0.4,2,1,1720,561000
1,4,8,1,1959,1540,1220,0.4,3,1,1220,654415
1,4,8,1,1965,1140,1370,0.4,3,1,1370,782000
1,4,8,1,1960,840,1340,0.4,2,1,1340,661470
3,4,8,1,1955,1220,1970,0.4,5,1,1970,567460
1,3,6,1,1950,970,1120,0.4,3,1,1120,450500
3,3,6,1,1948,1170,1650,0.4,5,1,1650,411400
2,4,8,1,1971,1260,2040,0.4,3,1,2040,892500
1,3,6,1,1946,990,1360,0.4,3,1,1360,378250
2,4,8,1,1953,1200,1990,0.4,3,1,1990,523600
3,3,6,1,1949,1250,1730,0.4,4,1,1730,447100
